HINER(
  (pe_embed): PositionEncoding()
  (encoder): Mlp(
    (fc1): Linear(in_features=160, out_features=320, bias=True)
    (act): GELU(approximate='none')
    (fc2): Linear(in_features=320, out_features=288, bias=True)
  )
  (decoder): ModuleList(
    (0): NeRVBlock(
      (conv): DownConv(
        (downconv): Conv2d(16, 105, kernel_size=(1, 1), stride=(1, 1))
      )
      (norm): Identity()
      (act): GELU(approximate='none')
    )
    (1): NeRVBlock(
      (conv): UpConv(
        (upconv): Sequential(
          (0): Conv2d(105, 2200, kernel_size=(1, 1), stride=(1, 1))
          (1): PixelShuffle(upscale_factor=5)
        )
      )
      (norm): Identity()
      (act): GELU(approximate='none')
    )
    (2): NeRVBlock(
      (conv): UpConv(
        (upconv): Sequential(
          (0): Conv2d(88, 1168, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): PixelShuffle(upscale_factor=4)
        )
      )
      (norm): Identity()
      (act): GELU(approximate='none')
    )
    (3): NeRVBlock(
      (conv): UpConv(
        (upconv): Sequential(
          (0): Conv2d(73, 549, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
          (1): PixelShuffle(upscale_factor=3)
        )
      )
      (norm): Identity()
      (act): GELU(approximate='none')
    )
    (4): NeRVBlock(
      (conv): UpConv(
        (upconv): Sequential(
          (0): Conv2d(61, 204, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
          (1): PixelShuffle(upscale_factor=2)
        )
      )
      (norm): Identity()
      (act): GELU(approximate='none')
    )
  )
  (head_layer): Conv2d(51, 1, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
)
Encoder_0.14M_Decoder_2.47M_Total_2.5M
[2025/06/17 12:24:12] Rank:None, Epoch[1/300], Step [1/103], lr:1.00e-04 pred_PSNR: 8.22
[2025/06/17 12:24:13] Rank:None, Epoch[1/300], Step [51/103], lr:1.15e-04 pred_PSNR: 12.64
[2025/06/17 12:24:13] Rank:None, Epoch[1/300], Step [101/103], lr:1.29e-04 pred_PSNR: 15.12
[2025/06/17 12:24:13] Rank:None, Epoch[1/300], Step [103/103], lr:1.30e-04 pred_PSNR: 15.18
[2025/06/17 12:24:14] Rank:None, Epoch[2/300], Step [1/103], lr:1.30e-04 pred_PSNR: 20.3
[2025/06/17 12:24:14] Rank:None, Epoch[2/300], Step [51/103], lr:1.45e-04 pred_PSNR: 19.85
[2025/06/17 12:24:15] Rank:None, Epoch[2/300], Step [101/103], lr:1.59e-04 pred_PSNR: 20.16
[2025/06/17 12:24:15] Rank:None, Epoch[2/300], Step [103/103], lr:1.60e-04 pred_PSNR: 20.17
[2025/06/17 12:24:16] Rank:None, Epoch[3/300], Step [1/103], lr:1.60e-04 pred_PSNR: 22.12
[2025/06/17 12:24:16] Rank:None, Epoch[3/300], Step [51/103], lr:1.75e-04 pred_PSNR: 22.13
[2025/06/17 12:24:17] Rank:None, Epoch[3/300], Step [101/103], lr:1.89e-04 pred_PSNR: 22.07
[2025/06/17 12:24:17] Rank:None, Epoch[3/300], Step [103/103], lr:1.90e-04 pred_PSNR: 22.08
[2025/06/17 12:24:17] Rank:None, Epoch[4/300], Step [1/103], lr:1.90e-04 pred_PSNR: 21.78
[2025/06/17 12:24:18] Rank:None, Epoch[4/300], Step [51/103], lr:2.05e-04 pred_PSNR: 23.13
[2025/06/17 12:24:19] Rank:None, Epoch[4/300], Step [101/103], lr:2.19e-04 pred_PSNR: 23.4
[2025/06/17 12:24:19] Rank:None, Epoch[4/300], Step [103/103], lr:2.20e-04 pred_PSNR: 23.35
[2025/06/17 12:24:19] Rank:None, Epoch[5/300], Step [1/103], lr:2.20e-04 pred_PSNR: 25.66
[2025/06/17 12:24:20] Rank:None, Epoch[5/300], Step [51/103], lr:2.35e-04 pred_PSNR: 24.16
[2025/06/17 12:24:21] Rank:None, Epoch[5/300], Step [101/103], lr:2.49e-04 pred_PSNR: 24.51
[2025/06/17 12:24:21] Rank:None, Epoch[5/300], Step [103/103], lr:2.50e-04 pred_PSNR: 24.48
[2025/06/17 12:24:21] Rank:None, Epoch[6/300], Step [1/103], lr:2.50e-04 pred_PSNR: 26.23
[2025/06/17 12:24:22] Rank:None, Epoch[6/300], Step [51/103], lr:2.65e-04 pred_PSNR: 25.34
[2025/06/17 12:24:22] Rank:None, Epoch[6/300], Step [101/103], lr:2.79e-04 pred_PSNR: 25.25
[2025/06/17 12:24:22] Rank:None, Epoch[6/300], Step [103/103], lr:2.80e-04 pred_PSNR: 25.23
[2025/06/17 12:24:23] Rank:None, Epoch[7/300], Step [1/103], lr:2.80e-04 pred_PSNR: 22.64
[2025/06/17 12:24:24] Rank:None, Epoch[7/300], Step [51/103], lr:2.95e-04 pred_PSNR: 25.62
[2025/06/17 12:24:24] Rank:None, Epoch[7/300], Step [101/103], lr:3.09e-04 pred_PSNR: 25.69
[2025/06/17 12:24:24] Rank:None, Epoch[7/300], Step [103/103], lr:3.10e-04 pred_PSNR: 25.71
[2025/06/17 12:24:25] Rank:None, Epoch[8/300], Step [1/103], lr:3.10e-04 pred_PSNR: 27.07
[2025/06/17 12:24:25] Rank:None, Epoch[8/300], Step [51/103], lr:3.25e-04 pred_PSNR: 26.11
[2025/06/17 12:24:26] Rank:None, Epoch[8/300], Step [101/103], lr:3.39e-04 pred_PSNR: 26.39
[2025/06/17 12:24:26] Rank:None, Epoch[8/300], Step [103/103], lr:3.40e-04 pred_PSNR: 26.42
[2025/06/17 12:24:27] Rank:None, Epoch[9/300], Step [1/103], lr:3.40e-04 pred_PSNR: 30.36
[2025/06/17 12:24:27] Rank:None, Epoch[9/300], Step [51/103], lr:3.55e-04 pred_PSNR: 27.27
[2025/06/17 12:24:28] Rank:None, Epoch[9/300], Step [101/103], lr:3.69e-04 pred_PSNR: 27.19
[2025/06/17 12:24:28] Rank:None, Epoch[9/300], Step [103/103], lr:3.70e-04 pred_PSNR: 27.2
[2025/06/17 12:24:28] Rank:None, Epoch[10/300], Step [1/103], lr:3.70e-04 pred_PSNR: 24.33
[2025/06/17 12:24:29] Rank:None, Epoch[10/300], Step [51/103], lr:3.85e-04 pred_PSNR: 27.07
[2025/06/17 12:24:30] Rank:None, Epoch[10/300], Step [101/103], lr:3.99e-04 pred_PSNR: 27.77
[2025/06/17 12:24:30] Rank:None, Epoch[10/300], Step [103/103], lr:4.00e-04 pred_PSNR: 27.72
[2025/06/17 12:24:30] Rank:None, Epoch[11/300], Step [1/103], lr:4.00e-04 pred_PSNR: 24.68
[2025/06/17 12:24:31] Rank:None, Epoch[11/300], Step [51/103], lr:4.15e-04 pred_PSNR: 27.7
[2025/06/17 12:24:32] Rank:None, Epoch[11/300], Step [101/103], lr:4.29e-04 pred_PSNR: 28.33
[2025/06/17 12:24:32] Rank:None, Epoch[11/300], Step [103/103], lr:4.30e-04 pred_PSNR: 28.38
[2025/06/17 12:24:32] Rank:None, Epoch[12/300], Step [1/103], lr:4.30e-04 pred_PSNR: 30.16
[2025/06/17 12:24:33] Rank:None, Epoch[12/300], Step [51/103], lr:4.45e-04 pred_PSNR: 29.4
[2025/06/17 12:24:33] Rank:None, Epoch[12/300], Step [101/103], lr:4.59e-04 pred_PSNR: 29.73
[2025/06/17 12:24:33] Rank:None, Epoch[12/300], Step [103/103], lr:4.60e-04 pred_PSNR: 29.72
[2025/06/17 12:24:34] Rank:None, Epoch[13/300], Step [1/103], lr:4.60e-04 pred_PSNR: 31.94
[2025/06/17 12:24:35] Rank:None, Epoch[13/300], Step [51/103], lr:4.75e-04 pred_PSNR: 30.12
[2025/06/17 12:24:35] Rank:None, Epoch[13/300], Step [101/103], lr:4.89e-04 pred_PSNR: 30.29
[2025/06/17 12:24:35] Rank:None, Epoch[13/300], Step [103/103], lr:4.90e-04 pred_PSNR: 30.31
[2025/06/17 12:24:36] Rank:None, Epoch[14/300], Step [1/103], lr:4.90e-04 pred_PSNR: 30.77
[2025/06/17 12:24:36] Rank:None, Epoch[14/300], Step [51/103], lr:5.05e-04 pred_PSNR: 30.39
[2025/06/17 12:24:37] Rank:None, Epoch[14/300], Step [101/103], lr:5.19e-04 pred_PSNR: 30.58
[2025/06/17 12:24:37] Rank:None, Epoch[14/300], Step [103/103], lr:5.20e-04 pred_PSNR: 30.6
[2025/06/17 12:24:38] Rank:None, Epoch[15/300], Step [1/103], lr:5.20e-04 pred_PSNR: 33.6
[2025/06/17 12:24:38] Rank:None, Epoch[15/300], Step [51/103], lr:5.35e-04 pred_PSNR: 31.46
[2025/06/17 12:24:39] Rank:None, Epoch[15/300], Step [101/103], lr:5.49e-04 pred_PSNR: 31.6
[2025/06/17 12:24:39] Rank:None, Epoch[15/300], Step [103/103], lr:5.50e-04 pred_PSNR: 31.59
[2025/06/17 12:24:39] Rank:None, Epoch[16/300], Step [1/103], lr:5.50e-04 pred_PSNR: 32.22
[2025/06/17 12:24:40] Rank:None, Epoch[16/300], Step [51/103], lr:5.65e-04 pred_PSNR: 31.55
[2025/06/17 12:24:41] Rank:None, Epoch[16/300], Step [101/103], lr:5.79e-04 pred_PSNR: 31.38
[2025/06/17 12:24:41] Rank:None, Epoch[16/300], Step [103/103], lr:5.80e-04 pred_PSNR: 31.37
[2025/06/17 12:24:41] Rank:None, Epoch[17/300], Step [1/103], lr:5.80e-04 pred_PSNR: 32.13
[2025/06/17 12:24:42] Rank:None, Epoch[17/300], Step [51/103], lr:5.95e-04 pred_PSNR: 30.38
[2025/06/17 12:24:43] Rank:None, Epoch[17/300], Step [101/103], lr:6.09e-04 pred_PSNR: 30.46
[2025/06/17 12:24:43] Rank:None, Epoch[17/300], Step [103/103], lr:6.10e-04 pred_PSNR: 30.52
[2025/06/17 12:24:43] Rank:None, Epoch[18/300], Step [1/103], lr:6.10e-04 pred_PSNR: 34.87
[2025/06/17 12:24:44] Rank:None, Epoch[18/300], Step [51/103], lr:6.25e-04 pred_PSNR: 32.2
[2025/06/17 12:24:44] Rank:None, Epoch[18/300], Step [101/103], lr:6.39e-04 pred_PSNR: 32.14
[2025/06/17 12:24:44] Rank:None, Epoch[18/300], Step [103/103], lr:6.40e-04 pred_PSNR: 32.19
[2025/06/17 12:24:45] Rank:None, Epoch[19/300], Step [1/103], lr:6.40e-04 pred_PSNR: 35.4
[2025/06/17 12:24:46] Rank:None, Epoch[19/300], Step [51/103], lr:6.55e-04 pred_PSNR: 31.66
[2025/06/17 12:24:46] Rank:None, Epoch[19/300], Step [101/103], lr:6.69e-04 pred_PSNR: 32.02
[2025/06/17 12:24:46] Rank:None, Epoch[19/300], Step [103/103], lr:6.70e-04 pred_PSNR: 32.01
[2025/06/17 12:24:47] Rank:None, Epoch[20/300], Step [1/103], lr:6.70e-04 pred_PSNR: 32.77
[2025/06/17 12:24:47] Rank:None, Epoch[20/300], Step [51/103], lr:6.85e-04 pred_PSNR: 32.96
[2025/06/17 12:24:48] Rank:None, Epoch[20/300], Step [101/103], lr:6.99e-04 pred_PSNR: 33.42
[2025/06/17 12:24:48] Rank:None, Epoch[20/300], Step [103/103], lr:7.00e-04 pred_PSNR: 33.39
[2025/06/17 12:24:49] Rank:None, Epoch[21/300], Step [1/103], lr:7.00e-04 pred_PSNR: 36.02
[2025/06/17 12:24:49] Rank:None, Epoch[21/300], Step [51/103], lr:7.15e-04 pred_PSNR: 34.03
[2025/06/17 12:24:50] Rank:None, Epoch[21/300], Step [101/103], lr:7.29e-04 pred_PSNR: 33.66
[2025/06/17 12:24:50] Rank:None, Epoch[21/300], Step [103/103], lr:7.30e-04 pred_PSNR: 33.56
[2025/06/17 12:24:50] Rank:None, Epoch[22/300], Step [1/103], lr:7.30e-04 pred_PSNR: 33.59
[2025/06/17 12:24:51] Rank:None, Epoch[22/300], Step [51/103], lr:7.45e-04 pred_PSNR: 32.9
[2025/06/17 12:24:52] Rank:None, Epoch[22/300], Step [101/103], lr:7.59e-04 pred_PSNR: 33.41
[2025/06/17 12:24:52] Rank:None, Epoch[22/300], Step [103/103], lr:7.60e-04 pred_PSNR: 33.42
[2025/06/17 12:24:52] Rank:None, Epoch[23/300], Step [1/103], lr:7.60e-04 pred_PSNR: 32.47
[2025/06/17 12:24:53] Rank:None, Epoch[23/300], Step [51/103], lr:7.75e-04 pred_PSNR: 33.51
[2025/06/17 12:24:54] Rank:None, Epoch[23/300], Step [101/103], lr:7.89e-04 pred_PSNR: 33.72
[2025/06/17 12:24:54] Rank:None, Epoch[23/300], Step [103/103], lr:7.90e-04 pred_PSNR: 33.76
[2025/06/17 12:24:54] Rank:None, Epoch[24/300], Step [1/103], lr:7.90e-04 pred_PSNR: 24.16
[2025/06/17 12:24:55] Rank:None, Epoch[24/300], Step [51/103], lr:8.05e-04 pred_PSNR: 32.32
[2025/06/17 12:24:55] Rank:None, Epoch[24/300], Step [101/103], lr:8.19e-04 pred_PSNR: 32.44
[2025/06/17 12:24:55] Rank:None, Epoch[24/300], Step [103/103], lr:8.20e-04 pred_PSNR: 32.44
[2025/06/17 12:24:56] Rank:None, Epoch[25/300], Step [1/103], lr:8.20e-04 pred_PSNR: 35.85
[2025/06/17 12:24:57] Rank:None, Epoch[25/300], Step [51/103], lr:8.35e-04 pred_PSNR: 33.36
[2025/06/17 12:24:57] Rank:None, Epoch[25/300], Step [101/103], lr:8.49e-04 pred_PSNR: 33.84
[2025/06/17 12:24:57] Rank:None, Epoch[25/300], Step [103/103], lr:8.50e-04 pred_PSNR: 33.87
[2025/06/17 12:24:58] Rank:None, Epoch[26/300], Step [1/103], lr:8.50e-04 pred_PSNR: 35.62
[2025/06/17 12:24:58] Rank:None, Epoch[26/300], Step [51/103], lr:8.65e-04 pred_PSNR: 34.78
[2025/06/17 12:24:59] Rank:None, Epoch[26/300], Step [101/103], lr:8.79e-04 pred_PSNR: 34.76
[2025/06/17 12:24:59] Rank:None, Epoch[26/300], Step [103/103], lr:8.80e-04 pred_PSNR: 34.8
[2025/06/17 12:25:00] Rank:None, Epoch[27/300], Step [1/103], lr:8.80e-04 pred_PSNR: 35.17
[2025/06/17 12:25:00] Rank:None, Epoch[27/300], Step [51/103], lr:8.95e-04 pred_PSNR: 35.27
[2025/06/17 12:25:01] Rank:None, Epoch[27/300], Step [101/103], lr:9.09e-04 pred_PSNR: 35.17
[2025/06/17 12:25:01] Rank:None, Epoch[27/300], Step [103/103], lr:9.10e-04 pred_PSNR: 35.13
[2025/06/17 12:25:01] Rank:None, Epoch[28/300], Step [1/103], lr:9.10e-04 pred_PSNR: 35.74
[2025/06/17 12:25:02] Rank:None, Epoch[28/300], Step [51/103], lr:9.25e-04 pred_PSNR: 35.63
[2025/06/17 12:25:03] Rank:None, Epoch[28/300], Step [101/103], lr:9.39e-04 pred_PSNR: 34.93
[2025/06/17 12:25:03] Rank:None, Epoch[28/300], Step [103/103], lr:9.40e-04 pred_PSNR: 34.89
[2025/06/17 12:25:03] Rank:None, Epoch[29/300], Step [1/103], lr:9.40e-04 pred_PSNR: 34.93
[2025/06/17 12:25:04] Rank:None, Epoch[29/300], Step [51/103], lr:9.55e-04 pred_PSNR: 34.96
[2025/06/17 12:25:05] Rank:None, Epoch[29/300], Step [101/103], lr:9.69e-04 pred_PSNR: 35.46
[2025/06/17 12:25:05] Rank:None, Epoch[29/300], Step [103/103], lr:9.70e-04 pred_PSNR: 35.43
[2025/06/17 12:25:05] Rank:None, Epoch[30/300], Step [1/103], lr:9.70e-04 pred_PSNR: 35.28
[2025/06/17 12:25:06] Rank:None, Epoch[30/300], Step [51/103], lr:9.85e-04 pred_PSNR: 35.47
[2025/06/17 12:25:07] Rank:None, Epoch[30/300], Step [101/103], lr:9.99e-04 pred_PSNR: 35.6
[2025/06/17 12:25:07] Rank:None, Epoch[30/300], Step [103/103], lr:1.00e-03 pred_PSNR: 35.65
[2025/06/17 12:25:07] Rank:None, Eval at Step [1/103] , FPS 183.4, pred_seen_psnr: 37.9 | 
[2025/06/17 12:25:07] Rank:None, Eval at Step [51/103] , FPS 263.8, pred_seen_psnr: 35.5 | 
[2025/06/17 12:25:08] Rank:None, Eval at Step [101/103] , FPS 265.4, pred_seen_psnr: 35.89 | 
[2025/06/17 12:25:08] Rank:None, Eval at Step [103/103] , FPS 265.5, pred_seen_psnr: 35.83 | 
[2025/06/17 12:25:08] Rank:None, Eval at Step [1/103] , FPS 185.7, quant_seen_psnr: 37.65 | 
[2025/06/17 12:25:08] Rank:None, Eval at Step [51/103] , FPS 265.8, quant_seen_psnr: 35.59 | 
[2025/06/17 12:25:09] Rank:None, Eval at Step [101/103] , FPS 267.3, quant_seen_psnr: 35.79 | 
[2025/06/17 12:25:09] Rank:None, Eval at Step [103/103] , FPS 267.3, quant_seen_psnr: 35.82 | 
Eval at epoch 30 for (720, 360): pred_seen_psnr: 35.83 | pred_unseen_psnr: 0.0 | quant_seen_psnr: 35.82 | quant_unseen_psnr: 0.0 | 
[2025/06/17 12:25:10] Rank:None, Epoch[31/300], Step [1/103], lr:1.00e-03 pred_PSNR: 38.16
[2025/06/17 12:25:10] Rank:None, Epoch[31/300], Step [51/103], lr:1.00e-03 pred_PSNR: 36.14
[2025/06/17 12:25:11] Rank:None, Epoch[31/300], Step [101/103], lr:1.00e-03 pred_PSNR: 36.17
[2025/06/17 12:25:11] Rank:None, Epoch[31/300], Step [103/103], lr:1.00e-03 pred_PSNR: 36.2
[2025/06/17 12:25:11] Rank:None, Epoch[32/300], Step [1/103], lr:1.00e-03 pred_PSNR: 35.64
[2025/06/17 12:25:12] Rank:None, Epoch[32/300], Step [51/103], lr:1.00e-03 pred_PSNR: 35.58
[2025/06/17 12:25:13] Rank:None, Epoch[32/300], Step [101/103], lr:1.00e-03 pred_PSNR: 35.65
[2025/06/17 12:25:13] Rank:None, Epoch[32/300], Step [103/103], lr:1.00e-03 pred_PSNR: 35.72
[2025/06/17 12:25:13] Rank:None, Epoch[33/300], Step [1/103], lr:1.00e-03 pred_PSNR: 31.61
[2025/06/17 12:25:14] Rank:None, Epoch[33/300], Step [51/103], lr:1.00e-03 pred_PSNR: 34.47
[2025/06/17 12:25:15] Rank:None, Epoch[33/300], Step [101/103], lr:1.00e-03 pred_PSNR: 34.65
[2025/06/17 12:25:15] Rank:None, Epoch[33/300], Step [103/103], lr:1.00e-03 pred_PSNR: 34.71
[2025/06/17 12:25:15] Rank:None, Epoch[34/300], Step [1/103], lr:1.00e-03 pred_PSNR: 36.91
[2025/06/17 12:25:16] Rank:None, Epoch[34/300], Step [51/103], lr:1.00e-03 pred_PSNR: 35.85
[2025/06/17 12:25:17] Rank:None, Epoch[34/300], Step [101/103], lr:9.99e-04 pred_PSNR: 35.84
[2025/06/17 12:25:17] Rank:None, Epoch[34/300], Step [103/103], lr:9.99e-04 pred_PSNR: 35.86
[2025/06/17 12:25:17] Rank:None, Epoch[35/300], Step [1/103], lr:9.99e-04 pred_PSNR: 38.13
[2025/06/17 12:25:18] Rank:None, Epoch[35/300], Step [51/103], lr:9.99e-04 pred_PSNR: 36.6
[2025/06/17 12:25:18] Rank:None, Epoch[35/300], Step [101/103], lr:9.99e-04 pred_PSNR: 36.76
[2025/06/17 12:25:18] Rank:None, Epoch[35/300], Step [103/103], lr:9.99e-04 pred_PSNR: 36.78
[2025/06/17 12:25:19] Rank:None, Epoch[36/300], Step [1/103], lr:9.99e-04 pred_PSNR: 32.28
[2025/06/17 12:25:20] Rank:None, Epoch[36/300], Step [51/103], lr:9.99e-04 pred_PSNR: 36.5
[2025/06/17 12:25:20] Rank:None, Epoch[36/300], Step [101/103], lr:9.99e-04 pred_PSNR: 36.52
[2025/06/17 12:25:20] Rank:None, Epoch[36/300], Step [103/103], lr:9.99e-04 pred_PSNR: 36.6
[2025/06/17 12:25:21] Rank:None, Epoch[37/300], Step [1/103], lr:9.99e-04 pred_PSNR: 38.23
[2025/06/17 12:25:21] Rank:None, Epoch[37/300], Step [51/103], lr:9.99e-04 pred_PSNR: 35.5
[2025/06/17 12:25:22] Rank:None, Epoch[37/300], Step [101/103], lr:9.98e-04 pred_PSNR: 35.98
[2025/06/17 12:25:22] Rank:None, Epoch[37/300], Step [103/103], lr:9.98e-04 pred_PSNR: 35.97
[2025/06/17 12:25:23] Rank:None, Epoch[38/300], Step [1/103], lr:9.98e-04 pred_PSNR: 41.94
[2025/06/17 12:25:23] Rank:None, Epoch[38/300], Step [51/103], lr:9.98e-04 pred_PSNR: 37.77
[2025/06/17 12:25:24] Rank:None, Epoch[38/300], Step [101/103], lr:9.98e-04 pred_PSNR: 37.49
[2025/06/17 12:25:24] Rank:None, Epoch[38/300], Step [103/103], lr:9.98e-04 pred_PSNR: 37.5
[2025/06/17 12:25:24] Rank:None, Epoch[39/300], Step [1/103], lr:9.98e-04 pred_PSNR: 40.73
[2025/06/17 12:25:25] Rank:None, Epoch[39/300], Step [51/103], lr:9.98e-04 pred_PSNR: 37.89
[2025/06/17 12:25:26] Rank:None, Epoch[39/300], Step [101/103], lr:9.97e-04 pred_PSNR: 38.02
[2025/06/17 12:25:26] Rank:None, Epoch[39/300], Step [103/103], lr:9.97e-04 pred_PSNR: 38.04
[2025/06/17 12:25:26] Rank:None, Epoch[40/300], Step [1/103], lr:9.97e-04 pred_PSNR: 41.34
[2025/06/17 12:25:27] Rank:None, Epoch[40/300], Step [51/103], lr:9.97e-04 pred_PSNR: 37.21
[2025/06/17 12:25:28] Rank:None, Epoch[40/300], Step [101/103], lr:9.97e-04 pred_PSNR: 37.54
[2025/06/17 12:25:28] Rank:None, Epoch[40/300], Step [103/103], lr:9.97e-04 pred_PSNR: 37.48
[2025/06/17 12:25:28] Rank:None, Epoch[41/300], Step [1/103], lr:9.97e-04 pred_PSNR: 36.68
[2025/06/17 12:25:29] Rank:None, Epoch[41/300], Step [51/103], lr:9.96e-04 pred_PSNR: 36.01
[2025/06/17 12:25:30] Rank:None, Epoch[41/300], Step [101/103], lr:9.96e-04 pred_PSNR: 37.35
[2025/06/17 12:25:30] Rank:None, Epoch[41/300], Step [103/103], lr:9.96e-04 pred_PSNR: 37.34
[2025/06/17 12:25:30] Rank:None, Epoch[42/300], Step [1/103], lr:9.96e-04 pred_PSNR: 40.29
[2025/06/17 12:25:31] Rank:None, Epoch[42/300], Step [51/103], lr:9.96e-04 pred_PSNR: 38.52
[2025/06/17 12:25:31] Rank:None, Epoch[42/300], Step [101/103], lr:9.95e-04 pred_PSNR: 38.28
[2025/06/17 12:25:31] Rank:None, Epoch[42/300], Step [103/103], lr:9.95e-04 pred_PSNR: 38.26
[2025/06/17 12:25:32] Rank:None, Epoch[43/300], Step [1/103], lr:9.95e-04 pred_PSNR: 31.29
[2025/06/17 12:25:33] Rank:None, Epoch[43/300], Step [51/103], lr:9.95e-04 pred_PSNR: 38.19
[2025/06/17 12:25:33] Rank:None, Epoch[43/300], Step [101/103], lr:9.94e-04 pred_PSNR: 38.71
[2025/06/17 12:25:33] Rank:None, Epoch[43/300], Step [103/103], lr:9.94e-04 pred_PSNR: 38.72
[2025/06/17 12:25:34] Rank:None, Epoch[44/300], Step [1/103], lr:9.94e-04 pred_PSNR: 40.17
[2025/06/17 12:25:34] Rank:None, Epoch[44/300], Step [51/103], lr:9.94e-04 pred_PSNR: 39.65
[2025/06/17 12:25:35] Rank:None, Epoch[44/300], Step [101/103], lr:9.93e-04 pred_PSNR: 39.19
[2025/06/17 12:25:35] Rank:None, Epoch[44/300], Step [103/103], lr:9.93e-04 pred_PSNR: 39.18
[2025/06/17 12:25:36] Rank:None, Epoch[45/300], Step [1/103], lr:9.93e-04 pred_PSNR: 35.78
[2025/06/17 12:25:36] Rank:None, Epoch[45/300], Step [51/103], lr:9.93e-04 pred_PSNR: 38.65
[2025/06/17 12:25:37] Rank:None, Epoch[45/300], Step [101/103], lr:9.92e-04 pred_PSNR: 38.57
[2025/06/17 12:25:37] Rank:None, Epoch[45/300], Step [103/103], lr:9.92e-04 pred_PSNR: 38.62
[2025/06/17 12:25:38] Rank:None, Epoch[46/300], Step [1/103], lr:9.92e-04 pred_PSNR: 42.93
[2025/06/17 12:25:38] Rank:None, Epoch[46/300], Step [51/103], lr:9.92e-04 pred_PSNR: 38.54
[2025/06/17 12:25:39] Rank:None, Epoch[46/300], Step [101/103], lr:9.91e-04 pred_PSNR: 39.01
[2025/06/17 12:25:39] Rank:None, Epoch[46/300], Step [103/103], lr:9.91e-04 pred_PSNR: 38.96
[2025/06/17 12:25:39] Rank:None, Epoch[47/300], Step [1/103], lr:9.91e-04 pred_PSNR: 40.7
[2025/06/17 12:25:40] Rank:None, Epoch[47/300], Step [51/103], lr:9.91e-04 pred_PSNR: 38.27
[2025/06/17 12:25:41] Rank:None, Epoch[47/300], Step [101/103], lr:9.90e-04 pred_PSNR: 38.33
[2025/06/17 12:25:41] Rank:None, Epoch[47/300], Step [103/103], lr:9.90e-04 pred_PSNR: 38.38
